# E (eV)  attenuation length (um)
   30.0000  0.230159
   31.0706  0.236836
   32.1795  0.241697
   33.3279  0.244758
   34.5173  0.247859
   35.7491  0.251000
   37.0249  0.254180
   38.3462  0.257400
   39.7147  0.261291
   41.1320  0.268408
   42.6000  0.275770
   44.1202  0.283334
   45.6948  0.291104
   47.3255  0.299994
   49.0145  0.309527
   50.7637  0.319363
   52.5753  0.329254
   54.4516  0.335981
   56.3949  0.341997
   58.4074  0.348120
   60.4919  0.348634
   62.6507  0.343312
   64.8865  0.338278
   67.2022  0.342527
   69.6005  0.349113
   72.0843  0.374408
   74.6569  0.411345
   77.3212  0.476494
   80.0806  0.540753
   82.9385  0.573871
   85.8984  0.591213
   88.9639  0.591213
   92.1388  0.587019
   95.4270  0.574706
   98.8326  0.552360
   102.360  7.826967E-02
   106.013  7.520013E-02
   109.796  6.184205E-02
   113.714  5.335129E-02
   117.773  4.386465E-02
   121.976  4.105414E-02
   126.329  4.052765E-02
   130.837  3.913396E-02
   135.506  4.144775E-02
   140.342  4.386123E-02
   145.351  4.394524E-02
   150.538  4.423183E-02
   155.910  4.624744E-02
   161.474  4.473832E-02
   167.237  4.420311E-02
   173.205  4.756172E-02
   179.386  5.437755E-02
   185.788  5.694155E-02
   192.419  6.013874E-02
   199.286  6.358567E-02
   206.398  6.706610E-02
   213.763  7.058341E-02
   221.392  7.434709E-02
   229.293  7.922041E-02
   237.476  8.445379E-02
   245.951  9.003258E-02
   254.728  9.635805E-02
   263.819  0.103311
   273.234  0.110766
   282.985  0.118759
   293.084  0.127329
   303.544  0.136760
   314.376  0.147136
   325.596  0.158298
   337.216  0.170307
   349.250  0.183228
   361.714  0.197128
   374.623  0.213643
   387.992  0.232357
   401.839  0.252713
   416.179  0.274851
   431.032  0.298928
   446.414  0.325115
   462.346  0.353699
   478.846  0.386116
   495.934  0.421631
   513.633  0.460412
   531.964  0.502760
   550.948  0.549003
   570.610  0.599500
   590.974  0.655770
   612.064  0.719908
   633.907  0.790320
   656.530  0.867617
   679.960  0.952475
   704.226  1.04369
   729.358  1.13908
   755.387  1.24318
   782.345  1.35681
   810.265  1.48553
   839.182  1.63213
   869.130  1.79320
   900.147  1.97168
   932.272  2.18216
   965.542  2.41739
   1000.00  2.67810
